Figure_path,Question,Pred,Label
xmlab102/source.jpg,Question: What modality is used to take this image?The Answer is:,CT scan ,CT
xmlab102/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab102/source.jpg,Question: What is the main organ in the image?The Answer is:, Lung ,"Lung, Spinal Cord"
xmlab102/source.jpg,Question: What is the largest organ in the picture?The Answer is:, Lung ,Lung
xmlab102/source.jpg,Question: What diseases are included in the picture?The Answer is:, Lung cancer and pneumonia ,Lung Cancer
xmlab102/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lower lobe ,"Left Lung, Right"
xmlab103/source.jpg,Question: What modality is used to take this image?The Answer is:,CT scan ,CT
xmlab103/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab103/source.jpg,Question: What is the main organ in the image?The Answer is:, Liver ,Lung
xmlab103/source.jpg,Question: What is the largest organ in the picture?The Answer is:,Liver ,Lung
xmlab103/source.jpg,Question: What diseases are included in the picture?The Answer is:, Cancer and heart disease ,Lung Cancer
xmlab103/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lung ,"Left Lung, Right"
xmlab105/source.jpg,Question: What modality is used to take this image?The Answer is:,CT scan ,CT
xmlab105/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab105/source.jpg,Question: What is the main organ in the image?The Answer is:, Lung ,Lung
xmlab105/source.jpg,Question: What is the largest organ in the picture?The Answer is:, Liver ,Lung
xmlab105/source.jpg,Question: What diseases are included in the picture?The Answer is:, Lung cancer and pneumonia ,Lung Cancer
xmlab105/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lung ,"Right Lung, Left"
xmlab124/source.jpg,Question: What modality is used to take this image?The Answer is:,X-ray ,X-Ray
xmlab124/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab124/source.jpg,Question: What is the largest organ in the picture?The Answer is:, Heart ,Lung
xmlab124/source.jpg,Question: What diseases are included in the picture?The Answer is:, Cancer and heart disease ,Cardiomegaly
xmlab124/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lung ,Center
xmlab13/source.jpg,Question: What modality is used to take this image?The Answer is:, MRI ,MRI
xmlab13/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Abdomen ,Abdomen
xmlab13/source.jpg,Question: What is the mr weighting in this image?The Answer is:,T2 weighting ,T2
xmlab130/source.jpg,Question: What modality is used to take this image?The Answer is:,X-ray ,X-Ray
xmlab130/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab130/source.jpg,Question: What is the largest organ in the picture?The Answer is:, Heart ,Lung
xmlab130/source.jpg,Question: What diseases are included in the picture?The Answer is:, Lung cancer and pneumonia ,Pneumonia
xmlab130/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lung ,"Left Lung, Lower Right"
xmlab135/source.jpg,Question: What modality is used to take this image?The Answer is:,X-ray ,X-Ray
xmlab135/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab135/source.jpg,Question: What is the largest organ in the picture?The Answer is:, Heart ,Lung
xmlab135/source.jpg,Question: What diseases are included in the picture?The Answer is:, Cancer and heart disease ,Cardiomegaly
xmlab135/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lung ,Center
xmlab142/source.jpg,Question: What modality is used to take this image?The Answer is:,X-ray ,X-Ray
xmlab142/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab142/source.jpg,Question: What is the largest organ in the picture?The Answer is:, Heart ,Lung
xmlab142/source.jpg,Question: What diseases are included in the picture?The Answer is:, Pneumonia and tuberculosis ,Cardiomegaly
xmlab142/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lower lobe ,Center
xmlab147/source.jpg,Question: What modality is used to take this image?The Answer is:,X-ray ,X-Ray
xmlab147/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab147/source.jpg,Question: What is the largest organ in the picture?The Answer is:, Heart ,Lung
xmlab147/source.jpg,Question: What diseases are included in the picture?The Answer is:, Pneumonia and tuberculosis ,"Atelectasis, Mass"
xmlab147/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lower lobe ,Right Lung
xmlab148/source.jpg,Question: What modality is used to take this image?The Answer is:,X-ray ,X-Ray
xmlab148/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab148/source.jpg,Question: What is the largest organ in the picture?The Answer is:, Heart ,Lung
xmlab148/source.jpg,Question: What diseases are included in the picture?The Answer is:, Lung cancer and pneumonia ,Cardiomegaly
xmlab148/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lower lobe ,Center
xmlab152/source.jpg,Question: What modality is used to take this image?The Answer is:,X-ray ,X-Ray
xmlab152/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab152/source.jpg,Question: What is the largest organ in the picture?The Answer is:, Heart ,Lung
xmlab152/source.jpg,Question: What diseases are included in the picture?The Answer is:, Lung diseases ,Cardiomegaly
xmlab152/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lower lobe ,Center
xmlab159/source.jpg,Question: What modality is used to take this image?The Answer is:,X-ray ,X-Ray
xmlab159/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab159/source.jpg,Question: What is the largest organ in the picture?The Answer is:, Heart ,Lung
xmlab159/source.jpg,Question: What diseases are included in the picture?The Answer is:, Cancer and heart disease ,Nodule
xmlab159/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lung ,"Left Lung, Right"
xmlab160/source.jpg,Question: What modality is used to take this image?The Answer is:,X-ray ,X-Ray
xmlab160/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab160/source.jpg,Question: What is the largest organ in the picture?The Answer is:, Heart ,Lung
xmlab160/source.jpg,Question: What diseases are included in the picture?The Answer is:, Lung cancer and pneumonia ,Nodule
xmlab160/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lower lobe ,"Right Lung, Left"
xmlab169/source.jpg,Question: What modality is used to take this image?The Answer is:,X-ray ,X-Ray
xmlab169/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab169/source.jpg,Question: What is the largest organ in the picture?The Answer is:, Heart ,Lung
xmlab169/source.jpg,Question: What diseases are included in the picture?The Answer is:, Pneumonia and tuberculosis ,Atelectasis
xmlab169/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lower lobe ,"Right Lung, Lower Left"
xmlab173/source.jpg,Question: What modality is used to take this image?The Answer is:,X-ray ,X-Ray
xmlab173/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab173/source.jpg,Question: What is the largest organ in the picture?The Answer is:, Heart ,Lung
xmlab173/source.jpg,Question: What diseases are included in the picture?The Answer is:, Cancer and heart disease ,Pneumonia
xmlab173/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lung ,"Left Lung, Right"
xmlab18/source.jpg,Question: What modality is used to take this image?The Answer is:,MRI ,MRI
xmlab18/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Abdomen ,Abdomen
xmlab18/source.jpg,Question: What is the mr weighting in this image?The Answer is:,T2-weighted ,T2
xmlab18/source.jpg,Question: How many kidneys are there in this image?The Answer is:, Two ,1
xmlab18/source.jpg,Question: What is the largest organ in the picture?The Answer is:,Liver ,Liver
xmlab185/source.jpg,Question: What modality is used to take this image?The Answer is:,X-ray ,X-Ray
xmlab185/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab185/source.jpg,Question: What is the largest organ in the picture?The Answer is:, Heart ,Lung
xmlab185/source.jpg,Question: What diseases are included in the picture?The Answer is:, Cancer and heart disease ,Pneumothorax
xmlab185/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lung ,"Right Lung, Left"
xmlab208/source.jpg,Question: What modality is used to take this image?The Answer is:, CT scan ,CT
xmlab208/source.jpg,Question: Which part of the body does this image belong to?The Answer is:,Abdomen ,Abdomen
xmlab208/source.jpg,Question: What is the largest organ in the picture?The Answer is:,Liver ,Liver
xmlab208/source.jpg,Question: Where is the liver?The Answer is:, Right ,Left
xmlab208/source.jpg,Question: How many kidneys in this image?The Answer is:, Two ,2
xmlab208/source.jpg,Question: What is the organ located in the lower right corner of the body in this image?The Answer is:, Kidney ,Left Kidney
xmlab208/source.jpg,Question: What is the organ on the left side of this image?The Answer is:, Liver ,Liver
xmlab208/source.jpg,Question: What is the scanning plane of this image?The Answer is:, Coronal ,Transverse  Plane
xmlab219/source.jpg,Question: What modality is used to take this image?The Answer is:, CT scan ,CT
xmlab219/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Abdomen
xmlab219/source.jpg,Question: How many organs are there in this image?The Answer is:, Two ,4
xmlab219/source.jpg,Question: What is the largest organ in the picture?The Answer is:,Liver ,Lung
xmlab219/source.jpg,Question: Where is the liver?The Answer is:, Right side ,Top
xmlab219/source.jpg,Question: What is the rightmost organ in this image?The Answer is:,Liver ,Left Lung
xmlab219/source.jpg,Question: What is the organ on the left side of this image?The Answer is:, Liver ,Right Lung
xmlab219/source.jpg,Question: What is the scanning plane of this image?The Answer is:, Coronal ,Transverse  Plane
xmlab224/source.jpg,Question: What modality is used to take this image?The Answer is:, CT scan ,CT
xmlab224/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Abdomen ,Abdomen
xmlab224/source.jpg,Question: What is the largest organ in the picture?The Answer is:,Liver ,Liver
xmlab224/source.jpg,Question: Where is the liver?The Answer is:, Right ,Left
xmlab224/source.jpg,Question: How many kidneys in this image?The Answer is:, Two ,0
xmlab224/source.jpg,Question: What is the organ on the left side of this image?The Answer is:, Liver ,Liver
xmlab224/source.jpg,Question: What is the organ on the lower right corner of the body in this image?The Answer is:, Liver ,Spleen
xmlab224/source.jpg,Question: What is the scanning plane of this image?The Answer is:, Coronal ,Transverse  Plane
xmlab234/source.jpg,Question: What modality is used to take this image?The Answer is:, CT scan ,CT
xmlab234/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Abdomen ,Abdomen
xmlab234/source.jpg,Question: What is the largest organ in the picture?The Answer is:,Liver ,Liver
xmlab234/source.jpg,Question: What diseases are included in the picture?The Answer is:, Cancer and diabetes ,Liver Cancer
xmlab234/source.jpg,Question: Where is the liver?The Answer is:, Right ,Left and top
xmlab234/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Left kidney ,Liver
xmlab234/source.jpg,Question: How many kidneys in this image?The Answer is:, Two ,0
xmlab234/source.jpg,Question: What is the organ on the left side of this image?The Answer is:, Liver ,Liver
xmlab234/source.jpg,Question: What is the rightmost organ in this image?The Answer is:, Liver ,Spleen
xmlab234/source.jpg,Question: What is the organ on the top of the body in this image?The Answer is:, Liver ,Liver
xmlab234/source.jpg,Question: What is the scanning plane of this image?The Answer is:, Coronal ,Transverse  Plane
xmlab235/source.jpg,Question: What modality is used to take this image?The Answer is:, CT scan ,CT
xmlab235/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Abdomen ,Abdomen
xmlab235/source.jpg,Question: What is the largest organ in the picture?The Answer is:,Liver ,Liver
xmlab235/source.jpg,Question: Where is the liver?The Answer is:, Right ,Left and top
xmlab235/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Left kidney ,Liver
xmlab235/source.jpg,Question: How many kidneys in this image?The Answer is:, Two ,2
xmlab235/source.jpg,Question: What is the organ on the lower right corner of this image?The Answer is:, Liver ,Spleen
xmlab235/source.jpg,Question: What is the organ on the top of the body in this image?The Answer is:, Liver ,Liver
xmlab235/source.jpg,Question: What is the scanning plane of this image?The Answer is:, Coronal ,Transverse  Plane
xmlab24/source.jpg,Question: What modality is used to take this image?The Answer is:, MRI ,MRI
xmlab24/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Abdomen ,Abdomen
xmlab24/source.jpg,Question: What is the mr weighting in this image?The Answer is:,T2-weighted ,T1
xmlab24/source.jpg,Question: How many kidneys are there in this image?The Answer is:, Two ,0
xmlab25/source.jpg,Question: What modality is used to take this image?The Answer is:,MRI ,MRI
xmlab25/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Abdomen ,Abdomen
xmlab25/source.jpg,Question: What is the mr weighting in this image?The Answer is:,T2-weighted ,T1
xmlab25/source.jpg,Question: Where is the liver?The Answer is:, Right side ,Not seen
xmlab25/source.jpg,Question: How many kidneys in this image?The Answer is:, Two ,0
xmlab25/source.jpg,Question: What is the organ on the left side of this image?The Answer is:, Liver ,Lung
xmlab250/source.jpg,Question: What modality is used to take this image?The Answer is:, CT scan ,CT
xmlab250/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Abdomen
xmlab250/source.jpg,Question: What is the largest organ in the picture?The Answer is:,Liver ,Lung
xmlab250/source.jpg,Question: What diseases are included in the picture?The Answer is:, Cancer and heart disease ,Liver Cancer
xmlab250/source.jpg,Question: Where is the liver?The Answer is:, Right side of the abdomen ,Upper Left
xmlab250/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right lung ,Liver
xmlab250/source.jpg,Question: How many kidneys in this image?The Answer is:, Two ,0
xmlab250/source.jpg,Question: What organ is the gray part on the left of the image?The Answer is:, Liver ,Liver
xmlab250/source.jpg,Question: What organ is the black part on the left of the image?The Answer is:, Liver ,Right Lung
xmlab250/source.jpg,Question: What is the organ on the top of the body in this image?The Answer is:, Lung ,Heart and Liver
xmlab250/source.jpg,Question: What is the scanning plane of this image?The Answer is:, Axial ,Transverse  Plane
xmlab250/source.jpg,Question: What are the white points in the black part of the body?The Answer is:, Bones ,Pulmonary bronchus
xmlab250/source.jpg,Question: Which is the kidney?The Answer is:, Right ,Symmetrical to the bone marrow
xmlab252/source.jpg,Question: What modality is used to take this image?The Answer is:, CT scan ,CT
xmlab252/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Abdomen ,Abdomen
xmlab252/source.jpg,Question: What is the largest organ in the picture?The Answer is:,Liver ,Liver
xmlab252/source.jpg,Question: What diseases are included in the picture?The Answer is:, Liver and kidney diseases ,Liver Cancer
xmlab252/source.jpg,Question: Where is/are the abnormality located?The Answer is:, Right kidney ,Liver
xmlab252/source.jpg,Question: How many kidneys in this image?The Answer is:, Two ,2
xmlab252/source.jpg,Question: What organ is the gray part on the left of the image?The Answer is:, Liver ,Liver
xmlab252/source.jpg,Question: What is the scanning plane of this image?The Answer is:, Coronal ,Transverse  Plane
xmlab252/source.jpg,Question: What is the shape of the kidney in the picture?The Answer is:, Oval ,Irregular
xmlab252/source.jpg,Question: Which is the kidney?The Answer is:, Right ,Symmetrical to the bone marrow
xmlab253/source.jpg,Question: What modality is used to take this image?The Answer is:,CT scan ,CT
xmlab253/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Abdomen ,Abdomen
xmlab253/source.jpg,Question: What is the largest organ in the picture?The Answer is:,Liver ,Liver
xmlab253/source.jpg,Question: Where is the liver?The Answer is:, Right ,Left
xmlab253/source.jpg,Question: What organ is the gray part on the left of the image?The Answer is:, Liver ,Liver
xmlab253/source.jpg,Question: What organ is the black part on the left of the image?The Answer is:, Liver ,Right Lung
xmlab253/source.jpg,Question: What is the scanning plane of this image?The Answer is:, Axial ,Transverse  Plane
xmlab253/source.jpg,Question: What are the white spots in the black part of the lower part of body?The Answer is:, Bones ,Pulmonary bronchus
xmlab264/source.jpg,Question: What modality is used to take this image?The Answer is:, CT scan ,CT
xmlab264/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Abdomen ,Abdomen
xmlab264/source.jpg,Question: What is the largest organ in the picture?The Answer is:,Liver ,Small Bowel
xmlab264/source.jpg,Question: How many kidneys in this image?The Answer is:, Two ,2
xmlab264/source.jpg,Question: What is the rightmost organ in this image?The Answer is:, Liver ,Large Bowel
xmlab264/source.jpg,Question: What organ is the gray part on the left of the image?The Answer is:, Liver ,Large Bowel
xmlab264/source.jpg,Question: What is the organ on the top of the body in this image?The Answer is:, Liver ,Small Bowel
xmlab264/source.jpg,Question: What is the scanning plane of this image?The Answer is:, Coronal ,Transverse  Plane
xmlab264/source.jpg,Question: Which is the kidney?The Answer is:, Right ,Symmetrical to the bone marrow
xmlab269/source.jpg,Question: What modality is used to take this image?The Answer is:,CT scan ,CT
xmlab269/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Abdomen ,Abdomen
xmlab269/source.jpg,Question: What is the largest organ in the picture?The Answer is:,Liver ,Liver
xmlab269/source.jpg,Question: What is the rightmost organ in this image?The Answer is:,Liver ,Large Bowel
xmlab269/source.jpg,Question: What organ is the gray part on the left of the image?The Answer is:, Liver ,Liver
xmlab269/source.jpg,Question: What organ is the black part on the left of the image?The Answer is:, Liver ,Right Lung
xmlab269/source.jpg,Question: What is the organ on the top of the body in this image?The Answer is:, Liver ,Stomach
xmlab269/source.jpg,Question: What is the scanning plane of this image?The Answer is:, Coronal ,Transverse  Plane
xmlab269/source.jpg,Question: What organ is the black hole in the upper right corner?The Answer is:, Liver ,Large Bowel
xmlab274/source.jpg,Question: What modality is used to take this image?The Answer is:,CT scan ,CT
xmlab274/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Abdomen ,Abdomen
xmlab274/source.jpg,Question: What is the largest organ in the picture?The Answer is:,Liver ,Liver
xmlab274/source.jpg,Question: How many kidneys in this image?The Answer is:, Two ,0
xmlab274/source.jpg,Question: What is the rightmost organ in this image?The Answer is:, Liver ,Large Bowel
xmlab274/source.jpg,Question: What organ is the gray part on the left of the image?The Answer is:, Liver ,Liver
xmlab274/source.jpg,Question: What organ is the black part on the left of the image?The Answer is:, Liver ,Right Lung
xmlab274/source.jpg,Question: What is the scanning plane of this image?The Answer is:, Coronal ,Transverse  Plane
xmlab274/source.jpg,Question: What organ is the black hole in the upper right corner?The Answer is:, Liver ,Large Bowel
xmlab299/source.jpg,Question: What type of medical image is this?The Answer is:,X-ray ,X-Ray
xmlab299/source.jpg,Question: What is the scanning plane of this image?The Answer is:, Transverse plane ,Coronal Plane
xmlab299/source.jpg,Question: Which part do the organs in this image locate from the aspect of the whole body?The Answer is:, Chest ,Chest
xmlab299/source.jpg,Question: What part of the lung is the pneumothorax located in?The Answer is:, Right lower lobe ,Upper Right Lung
xmlab299/source.jpg,Question: Which organ system is imaged?The Answer is:, Respiratory system ,Chest
xmlab299/source.jpg,Question: Which organs appear in pairs?The Answer is:, Lungs ,Lung
xmlab299/source.jpg,Question: What color does the left lung show in the picture?The Answer is:, Blue ,Black
xmlab299/source.jpg,Question: How many lungs are shown in this image?The Answer is:, Two ,2
xmlab299/source.jpg,Question: What is the effect of the main organ in this picture?The Answer is:, Decrease ,Breathe
xmlab299/source.jpg,Question: What kind of symptoms will the disease on the upper right of lung bring to the patient?The Answer is:, Cough ,"Chest pain, dyspnea"
xmlab299/source.jpg,Question: Which organs/organ in the picture belong to the respiratory system?The Answer is:, Lungs ,Lung
xmlab304/source.jpg,Question: What imaging modality was used?The Answer is:,X-ray ,X-Ray
xmlab304/source.jpg,Question: Which part of the human body is the organ located in the image?The Answer is:, Lungs ,Chest
xmlab304/source.jpg,Question: Where is the abnormality in this image?The Answer is:,Right lower lobe ,Lower Right Lung
xmlab304/source.jpg,Question: Where is the atelectasis in this image?The Answer is:,Right lower lobe ,Lower Right Lung
xmlab304/source.jpg,Question: What is the organ system visualized?The Answer is:, Respiratory system ,Chest
xmlab304/source.jpg,Question: What disease is/are shown on the right of lung?The Answer is:, Pneumonia ,Atelectasis
xmlab304/source.jpg,Question: What color does the left lung show in the picture?The Answer is:, Blue ,Black
xmlab304/source.jpg,Question: How many existing lungs in this image?The Answer is:,2 ,2
xmlab304/source.jpg,Question: What is the function of the main organ in this picture?The Answer is:, Breathing ,Breathe
xmlab304/source.jpg,Question: What is the main cause of the disease on the lower right of the lung in the picture?The Answer is:, Pneumonia ,Bronchial obstruction
xmlab304/source.jpg,Question: Which organs/organ in the picture belong to the circulatory system?The Answer is:, Heart and lungs ,Heart
xmlab311/source.jpg,Question: Which part of the body does this image belong to?The Answer is:, Chest ,Chest
xmlab311/source.jpg,Question: Where is the mass in this image?The Answer is:, Right lower lobe ,Lower Left Lung
xmlab311/source.jpg,Question: What disease is/are shown on the left of lung?The Answer is:, Pneumonia ,Pulmonary Mass
xmlab311/source.jpg,Question: What color is the lung in the picture?The Answer is:, Yellow ,Black
xmlab311/source.jpg,Question: How many existing heart in this image?The Answer is:, Two ,1
xmlab311/source.jpg,Question: How much damage will be caused to the body taking such an image?The Answer is:, None ,A Little
xmlab311/source.jpg,Question: How to prevent the occurrence of the disease on the lower left lobe of lung in this image?The Answer is:, To avoid smoking ,Keep healthy
